trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
315,False,"{'e': 0.04285212686704019, 'a': 0.1}",30,19,4.266228622023984,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
316,False,"{'e': 0.042425741080511385, 'a': 0.1}",25,15,17.485927475880974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'e': 0.04200359790344555, 'a': 0.1}",30,20,18.286747510130773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'e': 0.04158565512117316, 'a': 0.1}",20,13,11.589350023004798,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'e': 0.04117187093906774, 'a': 0.1}",20,11,8.250536875278033,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
320,False,"{'e': 0.04076220397836621, 'a': 0.1}",20,11,15.380892365047515,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'e': 0.04035661327203115, 'a': 0.1}",20,4,26.766875727044404,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'e': 0.039955058260653896, 'a': 0.1}",20,3,27.11878603483647,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'e': 0.039557498788398725, 'a': 0.1}",30,24,12.579692076830241,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'e': 0.039163895098987066, 'a': 0.1}",25,5,21.448878595268408,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
325,False,"{'e': 0.03877420783172201, 'a': 0.1}",25,14,20.111504956994292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'e': 0.038388398017552054, 'a': 0.1}",30,6,33.30117705737493,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'e': 0.038006427075174314, 'a': 0.1}",25,20,10.00992816511986,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'e': 0.0376282568071762, 'a': 0.1}",20,7,11.69961277567586,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
329,False,"{'e': 0.03725384939621581, 'a': 0.1}",20,11,14.631848743899818,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'e': 0.036883167401239994, 'a': 0.1}",20,3,26.67001348720168,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'e': 0.0365161737537404, 'a': 0.1}",20,3,31.763550856441988,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'e': 0.03615283175404641, 'a': 0.1}",25,10,19.44095936621639,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
333,False,"{'e': 0.0357931050676553, 'a': 0.1}",20,16,6.90680886722086,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'e': 0.03543695772159864, 'a': 0.1}",20,16,8.079175587486132,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'e': 0.035084354100845025, 'a': 0.1}",20,10,16.927358338673553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'e': 0.03473525894473856, 'a': 0.1}",20,12,17.550646417930185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'e': 0.03438963734347271, 'a': 0.1}",20,2,26.204099096251632,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'e': 0.034047454734599344, 'a': 0.1}",30,18,8.749169242440464,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
339,False,"{'e': 0.033708676899572396, 'a': 0.1}",25,11,24.62514824401157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'e': 0.03337326996032608, 'a': 0.1}",30,16,3.539697289467925,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
341,False,"{'e': 0.03304120037588693, 'a': 0.1}",20,2,18.798623804128212,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
342,False,"{'e': 0.03271243493901982, 'a': 0.1}",20,0,29.160408546965805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
343,False,"{'e': 0.03238694077290704, 'a': 0.1}",25,18,12.502139935055293,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'e': 0.03206468532786077, 'a': 0.1}",25,9,27.321299885534543,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'e': 0.03174563637806794, 'a': 0.1}",20,9,21.8960605092081,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'e': 0.03142976201836771, 'a': 0.1}",25,18,14.270177194516771,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
